Approved symbol	NCBI Gene ID	Approved name
NDUFS2	4720	NADH:ubiquinone oxidoreductase core subunit S2
NDUFS3	4722	NADH:ubiquinone oxidoreductase core subunit S3
NDUFS4	4724	NADH:ubiquinone oxidoreductase subunit S4
NDUFS5	4725	NADH:ubiquinone oxidoreductase subunit S5
NDUFS5P1		NADH:ubiquinone oxidoreductase subunit S5 pseudogene 1
NDUFS5P2	100286918	NADH:ubiquinone oxidoreductase subunit S5 pseudogene 2
NDUFS5P3	100288149	NADH:ubiquinone oxidoreductase subunit S5 pseudogene 3
NDUFS5P4	100287817	NADH:ubiquinone oxidoreductase subunit S5 pseudogene 4
NDUFS5P5	100128177	NADH:ubiquinone oxidoreductase subunit S5 pseudogene 5
NDUFS5P6		NADH:ubiquinone oxidoreductase subunit S5 pseudogene 6
NDUFS5P7	100130794	NADH:ubiquinone oxidoreductase subunit S5 pseudogene 7
NDUFS6	4726	NADH:ubiquinone oxidoreductase subunit S6
NDUFS6P1		NADH:ubiquinone oxidoreductase subunit S6 pseudogene 1
NDUFS7	374291	NADH:ubiquinone oxidoreductase core subunit S7
NDUFS8	4728	NADH:ubiquinone oxidoreductase core subunit S8
NDUFV1	4723	NADH:ubiquinone oxidoreductase core subunit V1
NDUFV2	4729	NADH:ubiquinone oxidoreductase core subunit V2
NDUFV2-AS1	101927275	NDUFV2 antisense RNA 1
NDUFV2P1	4730	NADH:ubiquinone oxidoreductase core subunit V2 pseudogene 1
NDUFV3	4731	NADH:ubiquinone oxidoreductase subunit V3
NEAT1	283131	nuclear paraspeckle assembly transcript 1
NEB	4703	nebulin
NEBL	10529	nebulette
NEBL-AS1	100128511	NEBL antisense RNA 1
NECAB1	64168	N-terminal EF-hand calcium binding protein 1
NECAB2	54550	N-terminal EF-hand calcium binding protein 2
NECAB3	63941	N-terminal EF-hand calcium binding protein 3
NECAP1	25977	NECAP endocytosis associated 1
NECAP1P1	442668	NECAP endocytosis associated 1 pseudogene 1
NECAP1P2		NECAP endocytosis associated 1 pseudogene 2
NECAP2	55707	NECAP endocytosis associated 2
NECTIN1	5818	nectin cell adhesion molecule 1
NECTIN1-AS1	105369525	NECTIN1 antisense RNA 1
NECTIN2	5819	nectin cell adhesion molecule 2
NECTIN3	25945	nectin cell adhesion molecule 3
NECTIN3-AS1	100506555	NECTIN3 antisense RNA 1
NECTIN4	81607	nectin cell adhesion molecule 4
NEDD1	121441	NEDD1 gamma-tubulin ring complex targeting factor
NEDD4	4734	NEDD4 E3 ubiquitin protein ligase
NEDD4L	23327	NEDD4 like E3 ubiquitin protein ligase
NEDD8	4738	NEDD8 ubiquitin like modifier
NEDD8-MDP1	100528064	NEDD8-MDP1 readthrough
NEDD9	4739	neural precursor cell expressed, developmentally down-regulated 9
NEFH	4744	neurofilament heavy
NEFHP1	339396	neurofilament heavy pseudogene 1
NEFL	4747	neurofilament light
NEFLP1	359795	neurofilament light pseudogene 1
NEFM	4741	neurofilament medium
NEFMP1	100420737	neurofilament medium pseudogene 1
NEGR1	257194	neuronal growth regulator 1
NEGR1-IT1		NEGR1 intronic transcript 1
NEIL1	79661	nei like DNA glycosylase 1
NEIL2	252969	nei like DNA glycosylase 2
NEIL3	55247	nei like DNA glycosylase 3
NEK1	4750	NIMA related kinase 1
NEK2	4751	NIMA related kinase 2
NEK2P1	326302	NEK2 pseudogene 1
NEK2P2	100379667	NEK2 pseudogene 2
NEK2P3	100158258	NEK2 pseudogene 3
NEK2P4	100381202	NEK2 pseudogene 4
NEK3	4752	NIMA related kinase 3
NEK4	6787	NIMA related kinase 4
NEK4P1	100421718	NIMA-related kinase 4 pseudogene 1
NEK4P2	100421734	NIMA-related kinase 4 pseudogene 2
NEK4P3	100421728	NIMA-related kinase 4 pseudogene 3
NEK5	341676	NIMA related kinase 5
NEK6	10783	NIMA related kinase 6
NEK7	140609	NIMA related kinase 7
NEK8	284086	NIMA related kinase 8
NEK9	91754	NIMA related kinase 9
NEK10	152110	NIMA related kinase 10
NEK11	79858	NIMA related kinase 11
NELFA	7469	negative elongation factor complex member A
NELFB	25920	negative elongation factor complex member B
NELFCD	51497	negative elongation factor complex member C/D
NELFE	7936	negative elongation factor complex member E
NELL1	4745	neural EGFL like 1
NELL2	4753	neural EGFL like 2
NEMF	9147	nuclear export mediator factor
NEMP1	23306	nuclear envelope integral membrane protein 1
NEMP2	100131211	nuclear envelope integral membrane protein 2
NENF	29937	neudesin neurotrophic factor
NENFP1		neudesin neurotrophic factor pseudogene 1
NENFP2	100129880	neudesin neurotrophic factor pseudogene 2
NENFP3		neudesin neurotrophic factor pseudogene 3
NEO1	4756	neogenin 1
NEPNP	442253	nephrocan, pseudogene
NEPRO	25871	nucleolus and neural progenitor protein
NES	10763	nestin
NET1	10276	neuroepithelial cell transforming 1
NETO1	81832	neuropilin and tolloid like 1
NETO2	81831	neuropilin and tolloid like 2
NEU1	4758	neuraminidase 1
NEU2	4759	neuraminidase 2
NEU3	10825	neuraminidase 3
NEU4	129807	neuraminidase 4
NEURL1	9148	neuralized E3 ubiquitin protein ligase 1
NEURL1-AS1	102724341	NEURL1 antisense RNA 1
NEURL1B	54492	neuralized E3 ubiquitin protein ligase 1B
NEURL2	140825	neuralized E3 ubiquitin protein ligase 2
NEURL3	93082	neuralized E3 ubiquitin protein ligase 3
NEURL4	84461	neuralized E3 ubiquitin protein ligase 4
NEUROD1	4760	neuronal differentiation 1
NEUROD2	4761	neuronal differentiation 2
NEUROD4	58158	neuronal differentiation 4
NEUROD6	63974	neuronal differentiation 6
NEUROG1	4762	neurogenin 1
NEUROG2	63973	neurogenin 2
NEUROG3	50674	neurogenin 3
NEXMIF	340533	neurite extension and migration factor
NEXN	91624	nexilin F-actin binding protein
NEXN-AS1	374987	NEXN antisense RNA 1
NF1	4763	neurofibromin 1
NF1P1	100419006	neurofibromin 1 pseudogene 1
NF1P2	440225	neurofibromin 1 pseudogene 2
NF1P3	4764	neurofibromin 1 pseudogene 3
NF1P4	100419029	neurofibromin 1 pseudogene 4
NF1P5	4768	neurofibromin 1 pseudogene 5
NF1P6	644637	neurofibromin 1 pseudogene 6
NF1P7	100158257	neurofibromin 1 pseudogene 7
NF1P8	401007	neurofibromin 1 pseudogene 8
NF1P9	101930150	neurofibromin 1 pseudogene 9
NF1P10		neurofibromin 1 pseudogene 10
NF1P11		neurofibromin 1 pseudogene 11
NF1P12	100418983	neurofibromin 1 pseudogene 12
NF2	4771	neurofibromin 2
NFAM1	150372	NFAT activating protein with ITAM motif 1
NFASC	23114	neurofascin
NFAT5	10725	nuclear factor of activated T cells 5
NFATC1	4772	nuclear factor of activated T cells 1
NFATC2	4773	nuclear factor of activated T cells 2
NFATC2IP	84901	nuclear factor of activated T cells 2 interacting protein
NFATC3	4775	nuclear factor of activated T cells 3
NFATC4	4776	nuclear factor of activated T cells 4
NFE2	4778	nuclear factor, erythroid 2
NFE2L1	4779	nuclear factor, erythroid 2 like 1
NFE2L2	4780	nuclear factor, erythroid 2 like 2
NFE2L3	9603	nuclear factor, erythroid 2 like 3
NFE2L3P1	642996	nuclear factor, erythroid 2 like 3 pseudogene 1
NFE2L3P2	100272146	nuclear factor, erythroid 2 like 3 pseudogene 2
NFE4	58160	nuclear factor, erythroid 4
NFIA	4774	nuclear factor I A
NFIA-AS1	645030	NFIA antisense RNA 1
NFIA-AS2	100996570	NFIA antisense RNA 2
NFIB	4781	nuclear factor I B
NFIC	4782	nuclear factor I C
NFIL3	4783	nuclear factor, interleukin 3 regulated
NFIX	4784	nuclear factor I X
NFKB1	4790	nuclear factor kappa B subunit 1
NFKB2	4791	nuclear factor kappa B subunit 2
NFKBIA	4792	NFKB inhibitor alpha
NFKBIB	4793	NFKB inhibitor beta
NFKBID	84807	NFKB inhibitor delta
NFKBIE	4794	NFKB inhibitor epsilon
NFKBIL1	4795	NFKB inhibitor like 1
NFKBIZ	64332	NFKB inhibitor zeta
NFRKB	4798	nuclear factor related to kappaB binding protein
NFS1	9054	NFS1 cysteine desulfurase
NFU1	27247	NFU1 iron-sulfur cluster scaffold
NFU1P1	100132681	NFU1 iron-sulfur cluster scaffold pseudogene 1
NFU1P2	100132699	NFU1 iron-sulfur cluster scaffold pseudogene 2
NFX1		nuclear transcription factor, X-box binding 1
NFXL1	152518	nuclear transcription factor, X-box binding like 1
NFYA	4800	nuclear transcription factor Y subunit alpha
NFYAP1	100130677	nuclear transcription factor Y subunit alpha pseudogene 1
NFYB	4801	nuclear transcription factor Y subunit beta
NFYC	4802	nuclear transcription factor Y subunit gamma
NFYC-AS1	100130557	NFYC antisense RNA 1
NGB	58157	neuroglobin
NGDN	25983	neuroguidin
NGEF	25791	neuronal guanine nucleotide exchange factor
NGF	4803	nerve growth factor
NGF-AS1		NGF antisense RNA 1
NGFR	4804	nerve growth factor receptor
NGLY1	55768	N-glycanase 1
NGRN	51335	neugrin, neurite outgrowth associated
NHCP1	4805	non-histone chromosome protein 1
NHEJ1	79840	non-homologous end joining factor 1
NHLH1	4807	nescient helix-loop-helix 1
NHLH2	4808	nescient helix-loop-helix 2
NHLRC1	378884	NHL repeat containing E3 ubiquitin protein ligase 1
NHLRC2	374354	NHL repeat containing 2
NHLRC3	387921	NHL repeat containing 3
NHLRC4	283948	NHL repeat containing 4
NHP2	55651	NHP2 ribonucleoprotein
NHP2P1	414200	NHP2 ribonucleoprotein pseudogene 1
NHP2P2	442290	NHP2 ribonucleoprotein pseudogene 2
NHS	4810	NHS actin remodeling regulator
NHS-AS1		NHS antisense RNA 1
NHSL1	57224	NHS like 1
NHSL2	340527	NHS like 2
NIBAN1	116496	niban apoptosis regulator 1
NIBAN2	64855	niban apoptosis regulator 2
NIBAN3	199786	niban apoptosis regulator 3
NICN1	84276	nicolin 1
NICN2P	171176	nicolin 2, pseudogene
NID1	4811	nidogen 1
NID2	22795	nidogen 2
NIDDM1		non insulin dependent diabetes mellitus 1
NIDDM2		non insulin dependent diabetes mellitus 2
NIF3L1	60491	NGG1 interacting factor 3 like 1
NIFK	84365	nucleolar protein interacting with the FHA domain of MKI67
NIFK-AS1	254128	NIFK antisense RNA 1
NIFKP1	401825	nucleolar protein interacting with the FHA domain of MKI67 pseudogene 1
NIFKP2	645398	nucleolar protein interacting with the FHA domain of MKI67 pseudogene 2
NIFKP3	100270648	nucleolar protein interacting with the FHA domain of MKI67 pseudogene 3
NIFKP4	100128707	nucleolar protein interacting with the FHA domain of MKI67 pseudogene 4
NIFKP5	100128397	nucleolar protein interacting with the FHA domain of MKI67 pseudogene 5
NIFKP6	100132796	nucleolar protein interacting with the FHA domain of MKI67 pseudogene 6
NIFKP7		nucleolar protein interacting with the FHA domain of MKI67 pseudogene 7
NIFKP8	642907	nucleolar protein interacting with the FHA domain of MKI67 pseudogene 8
NIFKP9		nucleolar protein interacting with the FHA domain of MKI67 pseudogene 9
NIM1K	167359	NIM1 serine/threonine protein kinase
NIN	51199	ninein
NINJ1	4814	ninjurin 1
NINJ2	4815	ninjurin 2
NINL	22981	ninein like
NIP7	51388	nucleolar pre-rRNA processing protein NIP7
NIP7P1	389997	NIP7 pseudogene 1
NIP7P2	646392	NIP7 pseudogene 2
NIP7P3	100421245	NIP7 pseudogene 3
NIPA1	123606	NIPA magnesium transporter 1
NIPA2	81614	NIPA magnesium transporter 2
NIPA2P1	100132321	NIPA magnesium transporter 2 pseudogene 1
NIPA2P2	100130204	NIPA magnesium transporter 2 pseudogene 2
NIPA2P3	100128057	NIPA magnesium transporter 2 pseudogene 3
NIPA2P4	100421776	NIPA magnesium transporter 2 pseudogene 4
NIPA2P5		NIPA magnesium transporter 2 pseudogene 5
NIPAL1	152519	NIPA like domain containing 1
NIPAL2	79815	NIPA like domain containing 2
NIPAL3	57185	NIPA like domain containing 3
NIPAL4	348938	NIPA like domain containing 4
NIPBL	25836	NIPBL cohesin loading factor
NIPBL-DT	646719	NIPBL divergent transcript
NIPSNAP1	8508	nipsnap homolog 1
NIPSNAP2	2631	nipsnap homolog 2
NIPSNAP3A	25934	nipsnap homolog 3A
NIPSNAP3B	55335	nipsnap homolog 3B
NISCH	11188	nischarin
NIT1	4817	nitrilase 1
NIT2	56954	nitrilase family member 2
NKAIN1	79570	sodium/potassium transporting ATPase interacting 1
NKAIN1P1	100462647	sodium/potassium transporting ATPase interacting 1 pseudogene 1
NKAIN2	154215	sodium/potassium transporting ATPase interacting 2
NKAIN3	286183	sodium/potassium transporting ATPase interacting 3
NKAIN3-IT1	643763	NKAIN3 intronic transcript
NKAIN4	128414	sodium/potassium transporting ATPase interacting 4
NKAP	79576	NFKB activating protein
NKAPD1	55216	NKAP domain containing 1
NKAPL	222698	NFKB activating protein like
NKAPP1	158801	NFKB activating protein pseudogene 1
NKD1	85407	NKD inhibitor of WNT signaling pathway 1
NKD2	85409	NKD inhibitor of WNT signaling pathway 2
NKG7	4818	natural killer cell granule protein 7
NKILA	105416157	NF-kappaB interacting lncRNA
NKIRAS1	28512	NFKB inhibitor interacting Ras like 1
NKIRAS2	28511	NFKB inhibitor interacting Ras like 2
NKPD1	284353	NTPase KAP family P-loop domain containing 1
NKRF	55922	NFKB repressing factor
NKS1		natural killer cell susceptibility 1
NKTR	4820	natural killer cell triggering receptor
NKX1-1	54729	NK1 homeobox 1
NKX1-2	390010	NK1 homeobox 2
NKX2-1	7080	NK2 homeobox 1
NKX2-1-AS1	100506237	NKX2-1 antisense RNA 1
NKX2-2	4821	NK2 homeobox 2
NKX2-2-AS1		NKX2-2 antisense RNA 1
NKX2-3	159296	NK2 homeobox 3
NKX2-4	644524	NK2 homeobox 4
NKX2-5		NK2 homeobox 5
NKX2-6	137814	NK2 homeobox 6
NKX2-8	26257	NK2 homeobox 8
NKX3-1	4824	NK3 homeobox 1
NKX3-2	579	NK3 homeobox 2
NKX6-1	4825	NK6 homeobox 1
NKX6-2	84504	NK6 homeobox 2
NKX6-3	157848	NK6 homeobox 3
NLE1	54475	notchless homolog 1
NLGN1	22871	neuroligin 1
NLGN1-AS1		NLGN1 antisense RNA 1
NLGN2	57555	neuroligin 2
NLGN3	54413	neuroligin 3
NLGN4X	57502	neuroligin 4 X-linked
NLGN4Y	22829	neuroligin 4 Y-linked
NLGN4Y-AS1	100874056	NLGN4Y antisense RNA 1
NLK	51701	nemo like kinase
NLN	57486	neurolysin
NLRC3	197358	NLR family CARD domain containing 3
NLRC4	58484	NLR family CARD domain containing 4
NLRC5	84166	NLR family CARD domain containing 5
NLRP1	22861	NLR family pyrin domain containing 1
NLRP2	55655	NLR family pyrin domain containing 2
NLRP2B	286430	NLR family pyrin domain containing 2B
NLRP3	114548	NLR family pyrin domain containing 3
NLRP3P1	347402	NLR family pyrin domain containing 3 pseudogene 1
NLRP4	147945	NLR family pyrin domain containing 4
NLRP5	126206	NLR family pyrin domain containing 5
NLRP6	171389	NLR family pyrin domain containing 6
NLRP7	199713	NLR family pyrin domain containing 7
NLRP8	126205	NLR family pyrin domain containing 8
NLRP9	338321	NLR family pyrin domain containing 9
NLRP9P1	347933	NLR family pyrin domain containing 9 pseudogene 1
NLRP10	338322	NLR family pyrin domain containing 10
NLRP11	204801	NLR family pyrin domain containing 11
NLRP12	91662	NLR family pyrin domain containing 12
NLRP13	126204	NLR family pyrin domain containing 13
NLRP14	338323	NLR family pyrin domain containing 14
NLRX1	79671	NLR family member X1
NM	4827	neutrophil migration
NMB	4828	neuromedin B
NMBR	4829	neuromedin B receptor
NMBR-AS1		NMBR antisense RNA 1
NMD3	51068	NMD3 ribosome export adaptor
NMD3P1	441238	NMD3 ribosome export adaptor pseudogene 1
NMD3P2	100286929	NMD3 ribosome export adaptor pseudogene 2
NME1	4830	NME/NM23 nucleoside diphosphate kinase 1
NME1-NME2	654364	NME1-NME2 readthrough
NME1P1		NME/NM23 nucleoside diphosphate kinase 1 pseudogene 1
NME2	4831	NME/NM23 nucleoside diphosphate kinase 2
NME2P1	283458	NME/NM23 nucleoside diphosphate kinase 2 pseudogene 1
NME3	4832	NME/NM23 nucleoside diphosphate kinase 3
NME4	4833	NME/NM23 nucleoside diphosphate kinase 4
NME5	8382	NME/NM23 family member 5
NME6	10201	NME/NM23 nucleoside diphosphate kinase 6
NME7	29922	NME/NM23 family member 7
NME8	51314	NME/NM23 family member 8
NME9	347736	NME/NM23 family member 9
NMI	9111	N-myc and STAT interactor
NMNAT1	64802	nicotinamide nucleotide adenylyltransferase 1
NMNAT1P1	326607	NMNAT1 pseudogene 1
NMNAT1P2	100129160	NMNAT1 pseudogene 2
NMNAT1P3	391603	NMNAT1 pseudogene 3
NMNAT1P4	100132841	NMNAT1 pseudogene 4
NMNAT1P5	100129256	NMNAT1 pseudogene 5
NMNAT2	23057	nicotinamide nucleotide adenylyltransferase 2
NMNAT3	349565	nicotinamide nucleotide adenylyltransferase 3
NMRAL1	57407	NmrA like redox sensor 1
NMRAL2P	344887	NmrA like redox sensor 2, pseudogene
NMRK1	54981	nicotinamide riboside kinase 1
NMRK2	27231	nicotinamide riboside kinase 2
NMS	129521	neuromedin S
NMT1	4836	N-myristoyltransferase 1
NMT2	9397	N-myristoyltransferase 2
NMTRL-TAA1-1	100189325	nuclear-encoded mitochondrial tRNA-Leu (TAA) 1-1
NMTRL-TAA2-1	100189522	nuclear-encoded mitochondrial tRNA-Leu (TAA) 2-1
NMTRL-TAA3-1	100189520	nuclear-encoded mitochondrial tRNA-Leu (TAA) 3-1
NMTRL-TAA4-1	100189377	nuclear-encoded mitochondrial tRNA-Leu (TAA) 4-1
NMTRL-TAA5-1	100189466	nuclear-encoded mitochondrial tRNA-Leu (TAA) 5-1
NMTRL-TAA6-1	100189456	nuclear-encoded mitochondrial tRNA-Leu (TAA) 6-1
NMTRP-TGG1-1	100189463	nuclear-encoded mitochondrial tRNA-Pro (TGG) 1-1
NMTRQ-CTG1-1	100189461	nuclear-encoded mitochondrial tRNA-Gln (CTG) 1-1
NMTRQ-TTG1-1	100189475	nuclear-encoded mitochondrial tRNA-Gln (TTG) 1-1
NMTRQ-TTG2-1	100189516	nuclear-encoded mitochondrial tRNA-Gln (TTG) 2-1
NMTRQ-TTG3-1	100189215	nuclear-encoded mitochondrial tRNA-Gln (TTG) 3-1
NMTRQ-TTG4-1	100189489	nuclear-encoded mitochondrial tRNA-Gln (TTG) 4-1
NMTRQ-TTG5-1	100189397	nuclear-encoded mitochondrial tRNA-Gln (TTG) 5-1
NMTRQ-TTG6-1	100189510	nuclear-encoded mitochondrial tRNA-Gln (TTG) 6-1
NMTRQ-TTG7-1	100189445	nuclear-encoded mitochondrial tRNA-Gln (TTG) 7-1
NMTRQ-TTG8-1	100189448	nuclear-encoded mitochondrial tRNA-Gln (TTG) 8-1
NMTRQ-TTG9-1	100189451	nuclear-encoded mitochondrial tRNA-Gln (TTG) 9-1
NMTRQ-TTG10-1	100189524	nuclear-encoded mitochondrial tRNA-Gln (TTG) 10-1
NMTRQ-TTG11-1	100189501	nuclear-encoded mitochondrial tRNA-Gln (TTG) 11-1
NMTRQ-TTG12-1	100189478	nuclear-encoded mitochondrial tRNA-Gln (TTG) 12-1
NMTRQ-TTG13-1	100189535	nuclear-encoded mitochondrial tRNA-Gln (TTG) 13-1
NMTRQ-TTG14-1	100189058	nuclear-encoded mitochondrial tRNA-Gln (TTG) 14-1
NMTRQ-TTG15-1	100189540	nuclear-encoded mitochondrial tRNA-Gln (TTG) 15-1
NMTRS-TGA1-1	100189055	nuclear-encoded mitochondrial tRNA-Ser (TGA) 1-1
NMTRS-TGA2-1	100189525	nuclear-encoded mitochondrial tRNA-Ser (TGA) 2-1
NMTRS-TGA3-1	100189512	nuclear-encoded mitochondrial tRNA-Ser (TGA) 3-1
NMTRV-TAC1-1	100189513	nuclear-encoded mitochondrial tRNA-Val (TAC) 1-1
NMU	10874	neuromedin U
NMUR1	10316	neuromedin U receptor 1
NMUR2	56923	neuromedin U receptor 2
NNAT	4826	neuronatin
NNMT	4837	nicotinamide N-methyltransferase
NNO1	23691	nanophthalmos 1
NNT	23530	nicotinamide nucleotide transhydrogenase
NNT-AS1	100652772	NNT antisense RNA 1
NOA1	84273	nitric oxide associated 1
NOB1	28987	NIN1 (RPN12) binding protein 1 homolog
NOBOX	135935	NOBOX oogenesis homeobox
NOC2L	26155	NOC2 like nucleolar associated transcriptional repressor
NOC2LP1	643276	NOC2 like nucleolar associated transcriptional repressor pseudogene 1
NOC2LP2	401010	NOC2 like nucleolar associated transcriptional repressor pseudogene 2
NOC3L	64318	NOC3 like DNA replication regulator
NOC4L	79050	nucleolar complex associated 4 homolog
NOCT	25819	nocturnin
NOD1	10392	nucleotide binding oligomerization domain containing 1
NOD2	64127	nucleotide binding oligomerization domain containing 2
NODAL	4838	nodal growth differentiation factor
NOG	9241	noggin
NOL3	8996	nucleolar protein 3
NOL4	8715	nucleolar protein 4
NOL4L	140688	nucleolar protein 4 like
NOL4L-DT	149950	NOL4L divergent transcript
NOL6	65083	nucleolar protein 6
NOL7	51406	nucleolar protein 7
NOL8	55035	nucleolar protein 8
NOL8P1	402191	nucleolar protein 8 pseudogene 1
NOL9	79707	nucleolar protein 9
NOL10	79954	nucleolar protein 10
NOL11	25926	nucleolar protein 11
NOL12	79159	nucleolar protein 12
NOLC1	9221	nucleolar and coiled-body phosphoprotein 1
NOM1	64434	nucleolar protein with MIF4G domain 1
NOMO1	23420	NODAL modulator 1
NOMO2	283820	NODAL modulator 2
NOMO3	408050	NODAL modulator 3
NONO	4841	non-POU domain containing octamer binding
NONOP1	644035	non-POU domain containing, octamer-binding pseudogene 1
NONOP2	100271700	non-POU domain containing, octamer-binding pseudogene 2
NOP2	4839	NOP2 nucleolar protein
NOP9	161424	NOP9 nucleolar protein
NOP10	55505	NOP10 ribonucleoprotein
NOP14	8602	NOP14 nucleolar protein
NOP14-AS1	317648	NOP14 antisense RNA 1
NOP16	51491	NOP16 nucleolar protein
NOP53	29997	NOP53 ribosome biogenesis factor
NOP53-AS1		NOP53 antisense RNA 1
NOP56	10528	NOP56 ribonucleoprotein
NOP56P1	646192	NOP56 ribonucleoprotein pseudogene 1
NOP56P2	402360	NOP56 ribonucleoprotein pseudogene 2
NOP56P3		NOP56 ribonucleoprotein pseudogene 3
NOP58	51602	NOP58 ribonucleoprotein
NORAD	647979	non-coding RNA activated by DNA damage
NOS1	4842	nitric oxide synthase 1
NOS1AP	9722	nitric oxide synthase 1 adaptor protein
NOS2	4843	nitric oxide synthase 2
NOS2P1	645740	nitric oxide synthase 2 pseudogene 1
NOS2P2	201288	nitric oxide synthase 2 pseudogene 2
NOS2P3	339256	nitric oxide synthase 2 pseudogene 3
NOS2P4	266619	nitric oxide synthase 2 pseudogene 4
NOS3	4846	nitric oxide synthase 3
NOSIP	51070	nitric oxide synthase interacting protein
NOSTRIN	115677	nitric oxide synthase trafficking
NOTCH1	4851	notch receptor 1
NOTCH2	4853	notch receptor 2
NOTCH2NLA	388677	notch 2 N-terminal like A
NOTCH2NLB	100996763	notch 2 N-terminal like B
NOTCH2NLC	100996717	notch 2 N-terminal like C
NOTCH2NLR	101929796	notch 2 N-terminal like R
NOTCH2P1	100420260	notch 2 pseudogene 1
NOTCH3	4854	notch receptor 3
NOTCH4	4855	notch receptor 4
NOTO	344022	notochord homeobox
NOTUM	147111	notum, palmitoleoyl-protein carboxylesterase
NOVA1	4857	NOVA alternative splicing regulator 1
NOVA2	4858	NOVA alternative splicing regulator 2
NOX1	27035	NADPH oxidase 1
NOX3	50508	NADPH oxidase 3
NOX4	50507	NADPH oxidase 4
NOX5	79400	NADPH oxidase 5
NOXA1	10811	NADPH oxidase activator 1
NOXO1		NADPH oxidase organizer 1
NOXRED1	122945	NADP dependent oxidoreductase domain containing 1
NPAP1	23742	nuclear pore associated protein 1
NPAP1L	729159	nuclear pore associated protein 1 like
NPAP1P1	100420827	nuclear pore associated protein 1 pseudogene 1
NPAP1P2	100420829	nuclear pore associated protein 1 pseudogene 2
NPAP1P3	100420830	nuclear pore associated protein 1 pseudogene 3
NPAP1P4	100533674	nuclear pore associated protein 1 pseudogene 4
NPAP1P5	100420671	nuclear pore associated protein 1 pseudogene 5
NPAP1P6	100533675	nuclear pore associated protein 1 pseudogene 6
NPAP1P7		nuclear pore associated protein 1 pseudogene 7
NPAP1P8	100420670	nuclear pore associated protein 1 pseudogene 8
NPAS1	4861	neuronal PAS domain protein 1
NPAS2	4862	neuronal PAS domain protein 2
NPAS3	64067	neuronal PAS domain protein 3
NPAS4	266743	neuronal PAS domain protein 4
NPAT	4863	nuclear protein, coactivator of histone transcription
NPB	256933	neuropeptide B
NPBWR1	2831	neuropeptides B and W receptor 1
NPBWR2	2832	neuropeptides B and W receptor 2
NPC1	4864	NPC intracellular cholesterol transporter 1
NPC1L1	29881	NPC1 like intracellular cholesterol transporter 1
NPC2	10577	NPC intracellular cholesterol transporter 2
NPCDR1	246734	nasopharyngeal carcinoma, down-regulated 1
NPDC1	56654	neural proliferation, differentiation and control 1
NPEPL1	79716	aminopeptidase like 1
NPEPPS	9520	aminopeptidase puromycin sensitive
NPFF	8620	neuropeptide FF-amide peptide precursor
NPFFR1	64106	neuropeptide FF receptor 1
NPFFR2	10886	neuropeptide FF receptor 2
NPHP1	4867	nephrocystin 1
NPHP3	27031	nephrocystin 3
NPHP3-ACAD11	100532724	NPHP3-ACAD11 readthrough (NMD candidate)
NPHP3-AS1	348808	NPHP3 antisense RNA 1
NPHP4	261734	nephrocystin 4
NPHS1	4868	NPHS1 adhesion molecule, nephrin
NPHS2	7827	NPHS2 stomatin family member, podocin
NPIPA1	9284	nuclear pore complex interacting protein family member A1
NPIPA2	642799	nuclear pore complex interacting protein family member A2
NPIPA3	642778	nuclear pore complex interacting protein family member A3
NPIPA5	100288332	nuclear pore complex interacting protein family member A5
NPIPA7	101059938	nuclear pore complex interacting protein family member A7
NPIPA8	101059953	nuclear pore complex interacting protein family member A8
NPIPA9	105376752	nuclear pore complex interacting protein family, member A9
NPIPB1P	729602	nuclear pore complex interacting protein family member B1, pseudogene
NPIPB2	729978	nuclear pore complex interacting protein family, member B2
NPIPB3	23117	nuclear pore complex interacting protein family member B3
NPIPB4	440345	nuclear pore complex interacting protein family member B4
NPIPB5	100132247	nuclear pore complex interacting protein family member B5
NPIPB6	728741	nuclear pore complex interacting protein family member B6
NPIPB7	440350	nuclear pore complex interacting protein family member B7
NPIPB8	728734	nuclear pore complex interacting protein family member B8
NPIPB9	100507607	nuclear pore complex interacting protein family member B9
NPIPB10P	730153	nuclear pore complex interacting protein family, member B10, pseudogene
NPIPB11	728888	nuclear pore complex interacting protein family member B11
NPIPB12	440353	nuclear pore complex interacting protein family, member B12
NPIPB13	613037	nuclear pore complex interacting protein family, member B13
NPIPB14P	109729168	nuclear pore complex interacting protein family member B14, pseudogene
NPIPB15	440348	nuclear pore complex interacting protein family member B15
NPIPP1	100874381	nuclear pore complex interacting protein pseudogene 1
NPL	80896	N-acetylneuraminate pyruvate lyase
NPLOC4	55666	NPL4 homolog, ubiquitin recognition factor
NPM1	4869	nucleophosmin 1
NPM1P1	4870	nucleophosmin 1 pseudogene 1
NPM1P2	4871	nucleophosmin 1 pseudogene 2
NPM1P3	4872	nucleophosmin 1 pseudogene 3
NPM1P4	100128903	nucleophosmin 1 pseudogene 4
NPM1P5	4874	nucleophosmin 1 pseudogene 5
NPM1P6	4875	nucleophosmin 1 pseudogene 6
NPM1P7	10831	nucleophosmin 1 pseudogene 7
NPM1P8	100130233	nucleophosmin 1 pseudogene 8
NPM1P9	392428	nucleophosmin 1 pseudogene 9
NPM1P10	10837	nucleophosmin 1 pseudogene 10
NPM1P11	10836	nucleophosmin 1 pseudogene 11
NPM1P12	10835	nucleophosmin 1 pseudogene 12
NPM1P13	10834	nucleophosmin 1 pseudogene 13
